tweet_id,timestamp,favorite_count,retweet_count,text,source,expanded_urls,img_num,jpg_url,name,stage,rating_numerator,rating_denominator,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
6688227149,2015-11-15 22:32:08+00:00,2535,532,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,Twitter for iPhone,https://twitter.com/dog_rates/status/666020888022790149,1,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,,,8.0,10,Welsh_springer_spaniel,0.465074,True,collie,0.156665,True,Shetland_sheepdog,0.0614285,True
662928026928,2015-11-15 23:05:30+00:00,132,48,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,Twitter for iPhone,https://twitter.com/dog_rates/status/666029285002620928,1,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,a,,7.0,10,redbone,0.506826,True,miniature_pinscher,0.0741916999999999,True,Rhodesian_ridgeback,0.07201,True
663341232449,2015-11-15 23:21:54+00:00,128,47,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,Twitter for iPhone,https://twitter.com/dog_rates/status/666033412701032449,1,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,a,,9.0,10,German_shepherd,0.596461,True,malinois,0.1385839999999999,True,bloodhound,0.116197,True
664422632904,2015-11-16 00:04:52+00:00,311,147,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,Twitter for iPhone,https://twitter.com/dog_rates/status/666044226329800704,1,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,a,,6.0,10,Rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True
6649248165822465,2015-11-16 00:24:50+00:00,111,41,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,Twitter for iPhone,https://twitter.com/dog_rates/status/666049248165822465,1,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,,,5.0,10,miniature_pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True
66758794694657,2015-11-16 00:30:50+00:00,136,60,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,Twitter for iPhone,https://twitter.com/dog_rates/status/666050758794694657,1,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,a,,10.0,10,Bernese_mountain_dog,0.651137,True,English_springer,0.263788,True,Greater_Swiss_Mountain_dog,0.0161992,True
66518538268816,2015-11-16 00:35:11+00:00,1253,879,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,Twitter for iPhone,https://twitter.com/dog_rates/status/666051853826850816,1,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,an,,2.0,10,box_turtle,0.933012,False,mud_turtle,0.0458854,False,terrapin,0.0178852999999999,False
6655524253,2015-11-16 00:49:46+00:00,448,261,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,Twitter for iPhone,https://twitter.com/dog_rates/status/666055525042405380,1,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,a,,10.0,10,chow,0.692517,True,Tibetan_mastiff,0.0582793999999999,True,fur_coat,0.0544486,False
6654992432,2015-11-16 00:55:59+00:00,304,146,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,Twitter for iPhone,https://twitter.com/dog_rates/status/666057090499244032,1,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,a,,9.0,10,shopping_cart,0.962465,False,shopping_basket,0.0145937999999999,False,golden_retriever,0.00795896,True
66580524156928,2015-11-16 01:01:59+00:00,115,61,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,Twitter for iPhone,https://twitter.com/dog_rates/status/666058600524156928,1,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,the,,8.0,10,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.0820861,True
